fid,display_name,verified_addresses,casts_count
1864,Sam,"['0x2ae5f36c77a736f76d61f3eec06f12caf2963fd6', '0x2ae5f36c77a736f76d61f3eec06f12caf2963fd6']",19
4167,Nounish Prof ⌐◧-◧,"['0xceed9585854f12f81a0103861b83b995a64ad915', '0x5e7ac26ab6240225569f3bdd6589c6397ac3e07f']",19
4378,GIGAMΞSH,"['0x795050decc0322567c4f0098209d4edc5a69b9d0', '0x0018476af64f322d1ebe3efee9e4802878708238']",19
1214,David Furlong,['0xdaa83039aca9a33b2e54bb2acc9f9c3a99357618'],18
533,paden,"['0x11c47bb644cbaa54c7bc651d46b9b399da832171', '0x5c78e2630b8b1efbf7c7b0ea6df2d0229f829071', '0x5c78e2630b8b1efbf7c7b0ea6df2d0229f829071', '0x11c47bb644cbaa54c7bc651d46b9b399da832171']",18
5818,Adrienne e/regen 🌱,['0xaea4a0dedb94ba5b2b8ed9477a8a54379c584542'],18
431,j4ck • icebreaker,['0xdfe8beee223412f316baf2968b17527d6eba29f1'],18
21821,Patrick,['0xfeb37531c44701c48fa9dd4256dc0f97c9568cb9'],17
834,Gabriel Ayuso — web/acc,"['0xceb78abfad166c11e350156fd671b385265a6c87', '0x44736f68f0a7a3b2244750997ac073a6a036e3e8', '0x537265e3fa15c839e445a483e8428e2dd627d00c']",17
206,Coop,"['0x5b93ff82faaf241c15997ea3975419dddd8362c5', '0x46301f7e700be9cffce3e5e142a2244df3f2d4f2']",17
8113,Haardik,['0x0d1f2bd5351a65a78ac0bef3c8faef643c046508'],17
129,phil,"['0x18b7511938fbe2ee08adf3d4a24edb00a5c9b783', '0x925afeb19355e289ed1346ede709633ca8788b25']",17
426,brianjckim,['0xa35156ca4294c13fe256b10091f3d6595e3bf7d7'],17
18679,Monica,"['0x0fed5e3e0afd8e0969f0e4e19a4520305e606fac', '0x0fed5e3e0afd8e0969f0e4e19a4520305e606fac']",16
18628,Sheikh Umar,['0x12192e2c74285f114852897904b1a5f398c189d3'],16
13089,Arjan Tupan 🌱 e/regen,['0xb31faa5c1d581c70f4b6ed095c944936cbd2a357'],16
6116,sio.eth,['0xd5fb864acfd6bb2f72939f122e89ff7f475924f5'],16
16877,Emmanuel 🍕🦉⌐◨-◨,"['0x1b5f4b3cbff53245ae516b5475be336622dd5dc4', '0x1b5f4b3cbff53245ae516b5475be336622dd5dc4']",16
16884,Jaack,['0x45cc2088e22fa1196d1fbfdbe3e539c76dc0bf22'],16
194446,Hibaryx,[],15
189625,AlΞx Wacy 🌐,['0x70436e8a9c2ea2131529b4b825b8cbc7adafc920'],15
5701,ChrisCoCreated,['0x5c8f77be6639cbd5b669e409c610926cc4e0e6ae'],15
9856,0xLuo,['0xec8b6b6ee8dc5c6631747bdc6b1400aff08829fd'],15
617,Cameron Armstrong,['0x19ce57b670121e73e43be6c2fea5c254bb4c8760'],15
22118,Ironman,['0xb88b2bef22a10f8f0ead8319b3386a6fff25481c'],15
4612,sean,"['0x8cd562f0f77ee136561d75b105b84494378a72b6', '0x38e8a52ee60ea89a5b086cd0d3da4108efd4827e']",14
20045,tian7.eth,"['0x43ac653e84c15e2216194a23f5eca39de1131900', '0x4bb402271667a25d31935d13ff15d2a8f8d08456', '0xe569fcae86ab6edb80a6a8a33c9800a56c4a6b01']",14
192348,RŌHKI,[],14
21624,Nat9188,"['0x507551ae8f089d459322f4c7e67d1567b4fc9e12', '0x507551ae8f089d459322f4c7e67d1567b4fc9e12']",14
20671,Marlon Smith,['0xc1fe9bd63c85f3504a168774c10bc0ddda321d1b'],14
20116,SuperFeedsAI,['0x0c29e0c3baf2b1546897e3594e41c605fe184a2d'],14
7061,Liang良😬q/dau,['0xee3ca4dd4ceb3416915eddc6cdadb4a6060434d4'],14
1689,Stephan,['0x8d25687829d6b85d9e0020b8c89e3ca24de20a89'],13
