fid,fname,cast_count,verified_addresses
210116,kyokomai,7,['0xdb21e1964a0feaaccc259defb2023930b5880c0f']
210595,dburrells,7,[]
210866,ishrpepe,7,"['0x33c4e66801cd70510f38f68496ce7304878f5263', '0x33c4e66801cd70510f38f68496ce7304878f5263']"
206947,bearup,7,[]
209726,alebest,7,[]
210654,liliananan,6,['0x58fd2497be1e8c98776bbd1934d10c99375de31a']
206279,axu2374568,6,['0x390db97141a50eee12d57a94ae51bd926745118f']
206763,jerkface80,6,"['0x439dc2dea660421db4b4191f98bbdd9d6227ce57', '0x439dc2dea660421db4b4191f98bbdd9d6227ce57', '0x439dc2dea660421db4b4191f98bbdd9d6227ce57', '0x439dc2dea660421db4b4191f98bbdd9d6227ce57']"
207262,linuxbet,6,[]
210777,0xilbiscione,6,"['0xa0f6035734d1163821bf527054a16eb83a4f0471', '0xa0f6035734d1163821bf527054a16eb83a4f0471']"
210766,lqd,6,[]
208745,cryptodev,6,[]
210127,cscrider-farcast,6,[]
210648,sweetman-eth,6,[]
207542,3lixbt,6,['0xddc34e3745adb986a42392cebfa2c24f72e24d4a']
208793,stixnemo,5,[]
209344,ravenlunatic,5,[]
210762,bash2424,5,['0xf778c828882429f7889844c2da65d2ae99341697']
210615,ericakang,5,[]
208177,mikev,5,[]
210445,hiyouri,5,['0x651b006ad9e0f75f570f833e725ed287c53aff0b']
210631,dieman,5,"['0x1d49e8b48b7e1f149ebeaa63b056d3d6f9fa6a99', '0x1d49e8b48b7e1f149ebeaa63b056d3d6f9fa6a99']"
208079,leftfooted,5,[]
207098,krystianinho,5,"['0x125c459df3e8454b3c90462f5078c34182bd1312', '0x125c459df3e8454b3c90462f5078c34182bd1312']"
210940,0xgilgamesh,5,[]
206618,covidcash,5,[]
206676,rupaben,5,[]
210890,magnust,5,[]
206119,pgate13,5,"['0x1a9216820c8dfde176b8543bef5520f863605ef8', '0x1a9216820c8dfde176b8543bef5520f863605ef8']"
210356,jayarea,5,[]
209724,icloud,5,[]
209490,dhiruyadav,5,['0xad95a04f8a1c573baa3b77c384c3064e3690a5be']
207539,sinobiorun,5,"['0x76c5e537c13b6ca9009be91e10cfb07723068982', '0x76c5e537c13b6ca9009be91e10cfb07723068982', '0x9c6b777bc26510e0b859c5d5c80fb56cf23930f5']"
206784,andrewsthomas77,5,"['0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a', '0x93d01a76f97e39e8041c2baac11787f93414da4a']"
206614,susuihui,5,"['0xf43179c9bd4d0d410670ca9011b9fffa4953d026', '0xf43179c9bd4d0d410670ca9011b9fffa4953d026']"
210965,kebel666,4,['0x1f7f735c3225f28d733bad6b21f82002928feaa4']
210741,huntchok,4,"['0xdb067755f26f5be6008d2ccca7e2fd703056f073', '0x31e5729fecf66c769809ceff9e8bee1942e570fb']"
209940,ezr3al,4,[]
208702,topboi,4,"['0x43ebf60a58e30bce1309551c069648de546861f0', '0x43ebf60a58e30bce1309551c069648de546861f0', '0x43ebf60a58e30bce1309551c069648de546861f0', '0x43ebf60a58e30bce1309551c069648de546861f0']"
206941,cgi,4,[]
210459,vincentlg,4,[]
207627,urboohooismyhaha,4,[]
210795,arrky,4,['0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5']
210796,musthafa,4,[]
210569,missqueen,4,[]
206824,fatcat,4,['0x68c7825b0b9ba65216d26832ed31e2ea0bd1fe8c']
208491,tialt,4,[]
207348,mukedlii,4,['0xba67b0bdd71472207994a210303fad81d33784de']
210910,meoww,4,[]
206387,dether,4,"['0x13624c3e54689761b614a10a38a1924633aaf9c9', '0x13624c3e54689761b614a10a38a1924633aaf9c9', '0x13624c3e54689761b614a10a38a1924633aaf9c9', '0x13624c3e54689761b614a10a38a1924633aaf9c9', '0x13624c3e54689761b614a10a38a1924633aaf9c9']"
207058,debfil76,4,[]
210938,zayn,4,[]
210950,akiba,4,"['0xbd320bfedf3f22773417317e39973cc37d4381a0', '0x0109a0243eb15247cba5eaa52f49a83b7ee9d843']"
207136,samb5z7gp32,4,"['0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd', '0x4fccd474ff7e768914e7f8ac89979a5c8a7845fd']"
209642,thwl,3,[]
210896,doogle,3,"['0x63be47625c7acd531d0e0bd35abfbd4573013295', '0x63be47625c7acd531d0e0bd35abfbd4573013295']"
210405,wbb,3,[]
210785,back,3,[]
208157,barn-mo,3,[]
209697,peroxxide,3,[]
210868,torif-adam,3,['0x51e8ee96980c4c13ab225c992e9b8bd69b5c36cc']
210658,flanlog,3,[]
208786,thecyberprince,3,[]
206301,mannycalifornia,3,['0xa6d62054cbc9351914b961e57c9d7b6ecd6df06d']
